,frm_02,lc_02,frm_04,lc_04,frm_08,lc_08,frm_16,lc_16,frm_32,lc_32,frm_64,lc_64
85,-0.6641229524585837,0.9926499999999999,-0.3509043288194481,0.997575,-0.1781245163958619,0.9987194444444444,-0.08940791148001903,0.9990083333333334,-0.04474754104035089,0.9990722222222223,-0.022379230645023576,0.9990833333333333
86,-0.6610268081580774,0.992161111111111,-0.34926841120257424,0.9972083333333333,-0.1772940990700071,0.9983583333333333,-0.08899109137987908,0.9986583333333334,-0.044538927795407524,0.9987333333333334,-0.022274898567424397,0.9987444444444444
87,-0.6579306638575712,0.9917333333333335,-0.34763249358570036,0.9968194444444445,-0.17646368174415225,0.998036111111111,-0.08857427127973913,0.9983027777777777,-0.04433031455046417,0.9983750000000001,-0.022170566489825218,0.9983888888888889
88,-0.654834519557065,0.9912916666666666,-0.34599657596882644,0.9963861111111113,-0.1756332644182974,0.9976666666666666,-0.08815745117959918,0.997961111111111,-0.0441217013055208,0.9980472222222221,-0.022066234412226042,0.9980583333333333
89,-0.6517383752565586,0.9908583333333334,-0.34436065835195256,0.9959722222222224,-0.1748028470924426,0.9973055555555556,-0.08774063107945923,0.9976027777777777,-0.04391308806057745,0.9976666666666666,-0.021961902334626866,0.997686111111111
90,-0.6486422309560524,0.9904972222222224,-0.34272474073507864,0.9955583333333333,-0.17397242976658775,0.9969055555555555,-0.0873238109793193,0.9972305555555554,-0.04370447481563408,0.9973194444444444,-0.021857570257027687,0.9973277777777779
91,-0.6455460866555462,0.9900222222222221,-0.34108882311820476,0.9951444444444443,-0.1731420124407329,0.9964555555555555,-0.08690699087917933,0.9968333333333332,-0.04349586157069073,0.996922222222222,-0.021753238179428508,0.99695
92,-0.64244994235504,0.9895972222222221,-0.3394529055013309,0.9947611111111113,-0.1723115951148781,0.9960583333333332,-0.0864901707790394,0.996375,-0.04328724832574736,0.9964638888888887,-0.021648906101829332,0.9964805555555556
93,-0.6393537980545339,0.9891694444444443,-0.337816987884457,0.9943361111111112,-0.17148117778902325,0.9956388888888887,-0.08607335067889943,0.9959944444444445,-0.043078635080804006,0.9960666666666665,-0.021544574024230156,0.9960749999999999
94,-0.6362576537540277,0.9887944444444445,-0.33618107026758315,0.9938833333333333,-0.1706507604631684,0.9952,-0.0856565305787595,0.995561111111111,-0.04287002183586064,0.9956444444444443,-0.021440241946630977,0.9956555555555554
