phase,flux,flux_white,model,model_fit
0.4556081304834021,1.4702872e-05,0.43529207,0.11836228,0.0
0.455816069248584,-0.00014439676,-0.6633321999999999,-0.07963971,0.0
0.4559475519011841,-0.00018721270000000002,-0.40563119999999997,-0.15828563,0.0
0.4562522257704339,0.00029272897999999995,1.5622252,0.22457975,0.0
0.4569230145384574,0.00030630693,1.1780633999999999,0.38858634,0.0
0.4575448748461717,6.395452500000001e-05,1.4318128,0.50019336,0.0
0.4578302189533241,2.5477742e-05,0.18508083,0.33239436,0.0
0.4589680285805941,-0.00012126694499999999,-0.5081545999999999,0.086906806,0.0
0.4602345594658789,-0.00025226534,-0.27437672,0.5700525,0.0
0.4603262895422609,-0.00032836123,-1.0341729,-0.042783577,0.0
0.4604039537649737,1.7156946e-05,0.4121255999999999,0.51798475,0.0
0.4607988331906781,-6.358258e-05,0.15343857,0.26726183,0.0
0.4614279421591789,2.7116652e-05,0.45658693,0.2679239,0.0
0.4618898141681049,0.00010665780000000001,0.7991891999999999,0.10111509,0.0
0.4622937256552655,-0.00017903505,-0.22699289,0.23567106,0.0
0.4633914087674672,-0.00018491795,-0.48712185,0.17842284,0.0
0.4647118156116932,-1.27001795e-05,-0.08484627,0.45697135,0.0
0.4648675755250228,-0.00024731673,-1.1709652,-0.112313226,0.0
0.4649980801837073,-0.00013651421999999998,-0.82850426,0.3362315,0.0
0.4653527468007626,-0.00014035996000000002,-0.9072431000000001,-0.18722896,0.0
0.4659402047342678,-0.00036753752,-0.6565607,0.08886204,0.0
0.4662405351599511,0.00019595023000000002,0.9382591,0.54485387,0.0
0.4667644522534665,-2.1109389999999997e-05,0.10109772,-0.042292334,0.0
0.4678217212053306,-1.1557402999999999e-05,-0.46635172,-0.20241515,0.0
0.4691037849351579,0.00042893342000000016,1.1811928999999999,0.25588074,0.0
0.4695999442601853,1.3904568999999998e-06,0.99805355,0.62427115,0.0
0.4699139090716336,4.2228149999999986e-05,0.016173447,0.13579674,0.0
0.4704598597927779,5.9931295e-05,0.29499313,0.11217172,0.0
0.470596347473064,-1.7026688999999994e-05,0.47013837,0.39778045,0.0
0.471242456276981,0.00027359356,1.2556393,0.28388774,0.0
0.472259052187765,-0.00024826374,-0.5358539999999999,0.020912405,0.0
0.4735023413352898,1.5682062e-05,0.11226508,0.09509689,0.0
0.4742079639454264,-0.0005408289,-1.2154468,0.99881744,0.0
0.4744823200032912,6.800975999999999e-05,0.52649504,-0.21987247,0.0
0.4749592933888557,-0.00013584287,0.096250586,0.091718085,0.0
0.4749868785701823,-1.982004e-05,0.42637467,0.78611386,0.0
0.4757273925514857,-0.00020074278,-0.3575741,0.25503020000000004,0.0
0.4767034304792975,-8.208417e-05,-0.6023183000000001,-0.029253612999999998,0.0
0.4779075423411427,5.9585173999999995e-05,0.31105405,-0.25333467,0.0
0.4788232035269271,0.00021763636000000005,1.3954803,0.18053596,0.0
0.4790578933021546,0.0002227,1.5942205,0.83127415,0.0
0.4793276182711835,-1.705249e-05,0.28785363,0.19800420000000002,0.0
